	rab.all	rab.win.op	rab.win.up	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH
35583	0.339824467805665	0.385527529394343	0.284583550689528	-0.0555940484403035	4.13915190589163	-0.010944127110005	0.492901419739715	0.511081532518281	0.812640112572043	0.520250218228937	0.794431889679079
35585	3.85180625170324	4.69497541821256	3.34905158549128	-0.978531376142198	5.01723770617306	-0.171717879087948	0.411400000304908	0.0252195617969643	0.249824224482363	0.00553613255781724	0.1091065496389
35587	0.231465513386196	0.294896139057276	0.160542608463404	-0.124375814717521	4.08037268905594	-0.0254309648039923	0.486400000045367	0.466536493294387	0.774910192300262	0.44834665837195	0.740237060624665
35590	0.524966697686687	0.611473182035013	0.441990123553475	-0.129303590762965	4.20581154407356	-0.0271593444064508	0.486400000045367	0.500485315507974	0.797515408749988	0.45835624574014	0.748183935661666
35596	0.172008734081817	0.0578616180681966	0.285219302208644	0.353131912007323	4.24875842799129	0.071801816806667	0.463800000121303	0.377503549967951	0.708168181671541	0.357165234691872	0.665007666507599
35602	0.292854596546962	0.370858854023503	0.227636744025455	-0.0806578141574015	4.12094590888477	-0.0174604569752494	0.490200000032679	0.492545101027076	0.792012419184272	0.471674660879917	0.768049200058603
35613	0.921238896154437	1.00502740629023	0.836178195282029	-0.27178811449321	4.20087284645085	-0.0579161197695574	0.469600000101709	0.424323711168971	0.743502822154986	0.44420969743104	0.740751366872549
35620	0.273863476534077	0.290152146521439	0.257344677599869	0.0219166696041695	4.16612616504057	0.00580510721789308	0.49700000001	0.516187820686761	0.804732173962473	0.524763621207019	0.791538794744251
35627	0.142825743673908	0.145157935323547	0.142013461761874	0.0603112974852724	4.20799706573102	0.0116341779943714	0.494901019813033	0.514191908069594	0.820363860432744	0.557591586558137	0.829942260037874
35628	0.276951628970147	0.272140455347628	0.284570722060406	0.0146587529839923	4.1564046960466	0.00304706005568883	0.498600000004667	0.526884129353073	0.81881159935439	0.536717399333268	0.805596791131182
35629	0.221441851858839	0.176623744671659	0.266708459649975	0.0504846530134904	4.20034297888616	0.00922877668967298	0.495300939827696	0.516763309208164	0.805103059489324	0.497891838173584	0.779685706137013
35630	2.43101287667687	2.80256955002182	2.07309476474798	-0.657884963530839	4.37579670296207	-0.13136637370137	0.430913817471228	0.106081722858841	0.434226760436945	0.0461894118214542	0.284690847990337
35636	1.4968043678036	1.66968400416361	1.33160568897024	-0.403662473898518	4.13757794138388	-0.0868307767470869	0.460107978538091	0.343164446166773	0.666039838994383	0.282720066547758	0.595142433482663
35639	0.403700252498935	0.424860135274761	0.3790045034228	0.0065334813657465	4.21678697552125	0.00127823768496939	0.499700059989002	0.502196106533798	0.791310903095068	0.464984252376816	0.749216602512462
35643	0.152308574288396	0.208143072132475	0.100522786121259	-0.171875508359875	4.22060738946891	-0.0357287686982653	0.481000000063425	0.450616774105343	0.774971677508972	0.452368084918037	0.737093531577319
35644	0.214318781329148	0.217004248318124	0.206095937452969	-0.0274570346786032	4.12393357858249	-0.00448952200578544	0.497200000009334	0.476848351000554	0.785044499178552	0.463783864973716	0.754359050208763
35646	0.400407433777366	0.456405179004412	0.338774858639999	-0.154599393377212	4.11934469904812	-0.0308130588014234	0.485400000048708	0.48767574616151	0.795423207779644	0.485731685079656	0.770594057591562
35650	0.292679270971177	0.281378605978335	0.300854584115993	0.09502820549758	4.09533785620307	0.0198193212371909	0.488902219593085	0.512415695071934	0.79438152337876	0.528684358704428	0.794955329161025
35654	0.887807858752381	0.912654233550571	0.858263571669368	0.0036099975809103	4.29835715984423	0.000513637208402845	0.499700059989002	0.527676422405674	0.831888120262865	0.537822103187248	0.819058342077114
35656	0.812924945805231	0.923835467964452	0.698062331442769	-0.162750367986798	4.08572018845478	-0.0336712690067043	0.48230353935118	0.455893936831108	0.763238097882666	0.418444532892718	0.727707921418907
35665	0.259354899986006	0.309870956096372	0.211010916077782	-0.065229128330194	4.11366469399951	-0.0123776405746421	0.492501499725051	0.47377172201301	0.778174843677289	0.475766927015677	0.761648985224354
35667	0.297925239167424	0.303045819659619	0.294044920333628	9.87722935787971e-05	4.15101007211239	2.20393804858413e-05	0.5	0.487013347356253	0.79754111744281	0.496191397624057	0.790298796641887
35672	0.668552121301333	0.645302150636831	0.69398151621849	0.0167477176764423	4.12709187951742	0.00338481672190259	0.498000000006667	0.520468867193726	0.815484893032185	0.544489352099278	0.818781369331103
35675	0.853462074999166	1.04359336729424	0.656269565670467	-0.316589477311554	4.46067374123334	-0.0604209479812842	0.46780000010778	0.324617678981666	0.657524309835732	0.28565728170145	0.593709235484738
35691	0.126574490096766	0.118663973001198	0.131741631102021	0.055559332678591	4.40900607380379	0.0113522890638375	0.494301139791037	0.526754917326516	0.813833961769798	0.527301768015668	0.790327298560789
35698	0.321777803224101	0.346491890117655	0.299310820391409	-0.0615979152490533	4.23220914483534	-0.0127789457513029	0.492901419739715	0.509195230041654	0.800361410944698	0.521185819048499	0.801740626040825
35716	0.480781450112048	0.54661975727662	0.410641201793204	-0.0950952838512693	4.10656602100257	-0.0220956558711931	0.489800000034014	0.54190130490609	0.821109994035504	0.498648658431387	0.776396223879431
35717	0.163300618807795	0.170255940086085	0.158619896600018	-0.0646899932816476	4.23036622695271	-0.0131102377004971	0.492600000024672	0.523566713192124	0.814272472747408	0.530631938769012	0.80027293691495
35718	0.210571402735999	0.132535691895023	0.296746557847416	0.157693599374071	4.18138388734645	0.0320261488612257	0.483000000056732	0.455636614401629	0.772478981828042	0.461048783012384	0.737715043812619
35719	0.366368208375913	0.397326741154946	0.332815650608566	-0.0519553860365853	4.25473546436898	-0.0100963898626104	0.496100779857024	0.493234028705198	0.790393534809827	0.487831930972614	0.765563900484108
35726	0.343348435737171	0.404804041542902	0.282681928247802	-0.0847753714557866	4.20213397438715	-0.0189387572161625	0.491800000027341	0.497219459178958	0.801130016581961	0.499434378895363	0.774463042797448
35732	0.85307355737612	0.889915254525523	0.816726771491022	-0.0765025017672301	4.27695581463848	-0.0143880558982399	0.492800000024005	0.563163874725274	0.836914112572083	0.545800379802169	0.819339527005131
35734	0.297756326464316	0.423170677364677	0.176625703982822	-0.214822939165829	4.1403758310333	-0.0435661174245884	0.477000000076829	0.405658285855464	0.727585930492018	0.390814494588504	0.693471478719144
35737	0.324274197196335	0.114055184241107	0.544362717191021	0.428546137676719	4.2310330988923	0.087097838930759	0.451909618238118	0.266648435505656	0.591300231797281	0.206299236065517	0.496522189779702
35740	0.328054735582736	0.395509951370602	0.266746435956301	-0.165116727045182	4.12897615784474	-0.0341854932144165	0.481200000062756	0.4954768678822	0.800140886209034	0.477373092473639	0.775079691630095
35744	0.263313017943106	0.33376535258469	0.197616232562672	-0.127887169271667	4.20422930293187	-0.0265073324100412	0.48470305943914	0.494795889104155	0.798635305800707	0.491493468671931	0.762383259058841
35749	0.202518978611175	0.233202996465359	0.175820411973701	-0.0143622099561131	4.15537971787592	-0.00358659519012435	0.497400000008667	0.527667131104707	0.818023710820786	0.534041846936157	0.807407980151813
35757	0.557851159182995	0.565162438635336	0.552819276191707	-0.0945856265266141	4.48012454564025	-0.0184419674875819	0.490400000032012	0.536041425064779	0.830511256850038	0.544366854494261	0.816983188330531
35758	0.254098792489862	0.252822432844557	0.256142070927129	0.0273294018479904	4.18592580229031	0.00508749687902867	0.49770045991568	0.527283102490137	0.811081409800328	0.52764235650257	0.804701370604476
35762	0.324536105321188	0.365762195939303	0.283892606482715	-0.0659001178230509	4.23378127278951	-0.0144869214603103	0.493000000023338	0.496598574567834	0.795879840317175	0.518525758937924	0.791459540074406
35764	0.395682786719118	0.436639451805499	0.357479043372382	-0.0350368779720416	4.20204965332935	-0.00904103527071118	0.496600000011333	0.509230561692211	0.802099488873524	0.505277399141524	0.778444416886513
35765	4.55384359310437	4.90646726814915	4.16283456696409	-0.634796526107294	4.6049558106238	-0.11738356349435	0.439912017799628	0.111210533865105	0.498826619518143	0.0418126850455976	0.319349434673851
35769	0.361492350906391	0.432138160128043	0.289624754701601	-0.187583317892941	4.03336833566812	-0.0384820669933102	0.480503899285216	0.469502976437598	0.780188432028926	0.473022218918607	0.754928307638784
35772	0.338922979260232	0.326802161743851	0.353202288074705	0.0308286512266909	4.15147663595233	0.00601132709289576	0.496300739864356	0.512103701435081	0.797198437057351	0.51400583436482	0.77797496221438
35775	0.729498276192158	0.758809443995702	0.698145982945413	-0.0495110985841407	4.24726392497531	-0.0094875269207049	0.493600000021337	0.57022321074522	0.847587468249401	0.567239737309157	0.831169746211263
35776	0.423648999319303	0.435700883088352	0.412700141623782	-0.0410971795881725	4.10004092853895	-0.00765854942049909	0.496000000013334	0.507396053792787	0.810691385285084	0.492782223208778	0.778591994547384
35780	1.00734187150883	0.518265713665974	1.53462306786424	1.09044571828772	4.286499354133	0.225678877185448	0.387522495895651	0.0108839975314239	0.0987605086813392	0.00379347026155705	0.0443590406840541
35785	0.216432328651129	0.295542055031656	0.14585111331559	-0.144866926075152	4.16180480130141	-0.0299876559916404	0.48240000005874	0.454359226627991	0.76862193289753	0.442930389516265	0.739111012440418
35788	1.16943299013136	1.3736875376243	0.971014079349239	-0.46345969248081	4.14159981578259	-0.0921918342403102	0.451200000164231	0.29422005519825	0.625107581447063	0.215699637530474	0.520838694529063
35790	3.8417047092691	4.5095432605939	3.07995080828871	-1.2711346352651	3.96456879834073	-0.292934575077311	0.354929014724969	0.000200738538367056	0.0128884462671327	1.49282127790102e-05	0.00174342452360949
35793	0.400545484102286	0.521915652934078	0.285967278190831	-0.147134848966093	4.14163340727702	-0.0352662863301329	0.480703859292545	0.42310090395856	0.7255859484045	0.396166219697423	0.678599428049877
35797	0.345732491772675	0.360011827396457	0.324173277899293	-0.0624321290401939	4.26002745295817	-0.0140467231444308	0.493701259769042	0.547984868345227	0.823889065449424	0.576678718660468	0.82351083974252
35798	0.266502652490669	0.336792038992111	0.199785049441238	-0.0897506485988879	4.23502827018434	-0.0178744245226181	0.49100000003001	0.467507849009061	0.7787343664955	0.476481036840878	0.762413884502293
35811	0.649157381303731	0.687994295076472	0.609654177297654	-0.0643150619872088	4.12819604180018	-0.0140214623914365	0.492701459732382	0.549740577187759	0.836438674874206	0.564285185261961	0.829344032375338
35813	0.0536983788385648	0.0372715504295691	0.0689753692266928	0.0567451968528339	4.25273043831391	0.0108654476819922	0.494200000019336	0.498548576515767	0.80619032080923	0.471071551810868	0.771921856222146
35817	0.761743995631548	0.870991431421261	0.653915536438226	-0.210080955842182	4.2042919484461	-0.0429990912229359	0.478400000072134	0.496720902656316	0.788499926197497	0.427661931514811	0.723954711233839
35819	0.457207976844357	0.452277490318266	0.462063020810998	0.0513788248881069	4.0834439422586	0.0111914390985809	0.493101379747046	0.510248942569149	0.802714808390536	0.522232757313966	0.799608567948133
35831	0.765493983290353	0.793119656643668	0.733973111136553	-0.137051535547116	4.06735106532642	-0.0294979279965318	0.484503099431809	0.493254936474105	0.802388407544822	0.472596081355869	0.764594321747148
35838	2.35405663755769	2.83674936058277	1.90673647689664	-0.865983213560854	4.04950504872025	-0.183164017928576	0.409200000312989	0.0213480083619823	0.184761607524756	0.00569018892919076	0.0863195599835669
35849	0.274408326538038	0.278900408552375	0.267283279942188	0.0447579494935395	4.20781035234281	0.00799727005170883	0.495100979820364	0.515431203738939	0.804819380427887	0.525256837971702	0.791891729299176
35851	0.630562308446028	0.675803089135017	0.591946443852935	-0.143460842452015	4.16395140136214	-0.0303144504364237	0.483000000056732	0.493309958219381	0.808651625014451	0.53866360169155	0.804593836924379
35855	0.627403514441459	0.731086366164437	0.520058447887797	-0.18757377889971	4.1750577220333	-0.0384575445450478	0.479400000068783	0.437895881848292	0.748161122382825	0.413602160472733	0.711359046243227
35860	0.820958563047808	0.946641351890003	0.699755965800378	-0.21345216780708	4.12024293253725	-0.0410609804958272	0.476704659145975	0.402839007844919	0.72691210658493	0.371590677082668	0.670501146446031
35868	0.302463796612845	0.377546060909908	0.218725842955123	-0.208567407981725	4.30842373952421	-0.0392368127709609	0.4797040592559	0.474121624751805	0.791960767480982	0.469802255004451	0.762271834915373
35869	0.795103268143243	1.02855422490061	0.566650456374907	-0.525124774875438	4.31444340369515	-0.107451792837797	0.44511097798956	0.218982397187578	0.559364263088875	0.164814759431398	0.451381637082296
